Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0002,
Horizontal Delay,-7e-05,
Sample Interval,2e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.05,1
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-9.6220e-04,0.0236563,-1.41312
-9.6200e-04,0.0239219,-1.41406
-9.6180e-04,0.0243594,-1.41844
-9.6160e-04,0.0242109,-1.42344
-9.6140e-04,0.0244297,-1.42625
-9.6120e-04,0.0245703,-1.41953
-9.6100e-04,0.0239375,-1.42359
-9.6080e-04,0.0248594,-1.41859
-9.6060e-04,0.0243516,-1.42359
-9.6040e-04,0.0244141,-1.43437
-9.6020e-04,0.0242656,-1.43188
-9.6000e-04,0.0243672,-1.42797
-9.5980e-04,0.0247813,-1.42594
-9.5960e-04,0.0245859,-1.42797
-9.5940e-04,0.0254453,-1.43406
-9.5920e-04,0.0255391,-1.43703
-9.5900e-04,0.0255156,-1.43828
-9.5880e-04,0.0258594,-1.43172
-9.5860e-04,0.0258359,-1.43562
-9.5840e-04,0.0261953,-1.44063
-9.5820e-04,0.0265781,-1.43672
-9.5800e-04,0.0267266,-1.44578
-9.5780e-04,0.0270937,-1.44063
-9.5760e-04,0.0265703,-1.44531
-9.5740e-04,0.0264219,-1.44281
-9.5720e-04,0.0268047,-1.445
-9.5700e-04,0.0266797,-1.44719
-9.5680e-04,0.0265937,-1.44437
-9.5660e-04,0.0270781,-1.44969
-9.5640e-04,0.0270156,-1.45203
-9.5620e-04,0.0271484,-1.44594
-9.5600e-04,0.0269766,-1.46125
-9.5580e-04,0.0272187,-1.45859
-9.5560e-04,0.0276641,-1.45234
-9.5540e-04,0.0285859,-1.45219
-9.5520e-04,0.0279688,-1.46125
-9.5500e-04,0.0279297,-1.45531
-9.5480e-04,0.028375,-1.46031
-9.5460e-04,0.0283438,-1.46437
-9.5440e-04,0.0286719,-1.46094
-9.5420e-04,0.0289922,-1.46266
-9.5400e-04,0.0289141,-1.46531
-9.5380e-04,0.0286875,-1.47016
-9.5360e-04,0.0292344,-1.465
-9.5340e-04,0.0292031,-1.46938
-9.5320e-04,0.0291016,-1.46922
-9.5300e-04,0.0294609,-1.47125
-9.5280e-04,0.0295859,-1.47484
-9.5260e-04,0.0292969,-1.47625
-9.5240e-04,0.0298984,-1.47703
-9.5220e-04,0.0297266,-1.47594
-9.5200e-04,0.0297969,-1.47094
-9.5180e-04,0.0298984,-1.4825
-9.5160e-04,0.0301719,-1.47391
-9.5140e-04,0.0299531,-1.47859
-9.5120e-04,0.0298125,-1.47922
-9.5100e-04,0.0305,-1.48438
-9.5080e-04,0.0301562,-1.48609
-9.5060e-04,0.0303125,-1.49656
-9.5040e-04,0.031,-1.49031
-9.5020e-04,0.0306797,-1.48547
-9.5000e-04,0.0308281,-1.48922
-9.4980e-04,0.0308984,-1.48641
-9.4960e-04,0.0315313,-1.49344
-9.4940e-04,0.0313516,-1.50125
-9.4920e-04,0.0317734,-1.49219
-9.4900e-04,0.0319453,-1.49719
-9.4880e-04,0.0313203,-1.49047
-9.4860e-04,0.0318594,-1.49391
-9.4840e-04,0.0317734,-1.49
-9.4820e-04,0.0314063,-1.49672
-9.4800e-04,0.0319063,-1.50812
-9.4780e-04,0.0321172,-1.49516
-9.4760e-04,0.0314609,-1.50031
-9.4740e-04,0.0315625,-1.50391
-9.4720e-04,0.0326328,-1.51094
-9.4700e-04,0.0325078,-1.515
-9.4680e-04,0.0323984,-1.50984
-9.4660e-04,0.0328516,-1.50687
-9.4640e-04,0.0328125,-1.50266
-9.4620e-04,0.0331719,-1.51828
-9.4600e-04,0.0329766,-1.50703
-9.4580e-04,0.0332969,-1.51391
-9.4560e-04,0.0329453,-1.52328
