time	V(n002)	V(n003)
2.569490939549177e-04	-5.566387e+00	7.500000e+00
2.813631564549177e-04	-1.346573e+01	7.500000e+00
2.823397189549177e-04	-1.373050e+01	7.500000e+00
2.833162814549177e-04	-1.386382e+01	7.500000e+00
2.842928439549177e-04	-1.388901e+01	7.500000e+00
3.000009999999999e-04	-1.388938e+01	7.500000e+00
3.000020000000000e-04	-1.395736e+01	-7.500000e+00
3.000021438486999e-04	-1.394772e+01	-7.500000e+00
3.000022876973998e-04	-1.392411e+01	-7.500000e+00
3.000024315460997e-04	-1.388652e+01	-7.500000e+00
3.000025753947996e-04	-1.383494e+01	-7.500000e+00
3.000027192434996e-04	-1.376939e+01	-7.500000e+00
3.000028630921994e-04	-1.368986e+01	-7.500000e+00
3.000030069408994e-04	-1.359634e+01	-7.500000e+00
3.000040069408994e-04	-1.328769e+01	-7.500000e+00
3.000050069408994e-04	-1.308360e+01	-7.500000e+00
3.000061322806859e-04	-1.299433e+01	-7.500000e+00
3.000061555704958e-04	-1.299612e+01	-7.500000e+00
3.000070006578812e-04	-1.312854e+01	-7.500000e+00
3.000078457452666e-04	-1.324562e+01	-7.500000e+00
3.000086908326520e-04	-1.334735e+01	-7.500000e+00
3.000095359200374e-04	-1.343374e+01	-7.500000e+00
3.000103810074228e-04	-1.350479e+01	-7.500000e+00
3.000112260948082e-04	-1.356049e+01	-7.500000e+00
3.000120711821936e-04	-1.360085e+01	-7.500000e+00
3.000180333735111e-04	-1.381733e+01	-7.500000e+00
3.000262222569032e-04	-1.392144e+01	-7.500000e+00
3.000521233287992e-04	-1.394690e+01	-7.500000e+00
3.001340488245747e-04	-1.392316e+01	-7.500000e+00
3.002238836931173e-04	-1.389357e+01	-7.500000e+00
3.004711957653025e-04	-1.381255e+01	-7.500000e+00
3.028455314431611e-04	-1.304390e+01	-7.500000e+00
3.052198671210198e-04	-1.227630e+01	-7.500000e+00
3.075942027988784e-04	-1.150974e+01	-7.500000e+00
3.099685384767371e-04	-1.074423e+01	-7.500000e+00
3.123428741545958e-04	-9.979761e+00	-7.500000e+00
3.147172098324544e-04	-9.216339e+00	-7.500000e+00
3.170915455103131e-04	-8.453962e+00	-7.500000e+00
3.200212330103131e-04	-7.516744e+00	-7.500000e+00
3.229509205103131e-04	-6.579733e+00	-7.500000e+00
3.254620812245988e-04	-5.773652e+00	-7.500000e+00
3.279732419388845e-04	-4.966571e+00	-7.500000e+00
3.304844026531702e-04	-4.158493e+00	-7.500000e+00
3.329955633674559e-04	-3.349415e+00	-7.500000e+00
3.355067240817417e-04	-2.539340e+00	-7.500000e+00
3.380178847960274e-04	-1.728265e+00	-7.500000e+00
3.405290455103131e-04	-9.161928e-01	-7.500000e+00
3.429006972960274e-04	-1.495348e-01	-7.500000e+00
3.452723490817416e-04	6.172427e-01	-7.500000e+00
3.476440008674559e-04	1.384140e+00	-7.500000e+00
3.500156526531702e-04	2.151157e+00	-7.500000e+00
3.523873044388845e-04	2.918293e+00	-7.500000e+00
3.547589562245988e-04	3.685549e+00	-7.500000e+00
3.571306080103131e-04	4.452925e+00	-7.500000e+00
3.854509205103131e-04	1.360016e+01	-7.500000e+00
3.864274830103131e-04	1.381196e+01	-7.500000e+00
3.874040455103131e-04	1.388592e+01	-7.500000e+00
4.000000000000000e-04	1.388938e+01	-7.500000e+00
4.000000044515625e-04	1.388975e+01	-7.433227e+00
4.000000046578125e-04	1.388976e+01	-7.430133e+00
4.000000049328125e-04	1.388978e+01	-7.426008e+00
