Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.0004,
Horizontal Delay,0,
Sample Interval,4e-07,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,1
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.8040e-03,0.140641,1.94719
-1.8036e-03,0.140078,1.94469
-1.8032e-03,0.140656,1.95109
-1.8028e-03,0.139953,1.94516
-1.8024e-03,0.139813,1.94312
-1.8020e-03,0.139719,1.95312
-1.8016e-03,0.139547,1.94422
-1.8012e-03,0.139187,1.93891
-1.8008e-03,0.139594,1.94781
-1.8004e-03,0.139094,1.94828
-1.8000e-03,0.138656,1.94219
-1.7996e-03,0.139109,1.94219
-1.7992e-03,0.139172,1.95203
-1.7988e-03,0.13875,1.95453
-1.7984e-03,0.138297,1.94781
-1.7980e-03,0.138641,1.94359
-1.7976e-03,0.138172,1.95125
-1.7972e-03,0.13775,1.94562
-1.7968e-03,0.13875,1.945
-1.7964e-03,0.137437,1.94484
-1.7960e-03,0.137969,1.94188
-1.7956e-03,0.137656,1.94484
-1.7952e-03,0.138141,1.93891
-1.7948e-03,0.137578,1.95859
-1.7944e-03,0.137375,1.94172
-1.7940e-03,0.138281,1.93766
-1.7936e-03,0.137578,1.94547
-1.7932e-03,0.136797,1.94406
-1.7928e-03,0.136828,1.94672
-1.7924e-03,0.136375,1.94312
-1.7920e-03,0.136172,1.94688
-1.7916e-03,0.136469,1.94578
-1.7912e-03,0.135922,1.94047
-1.7908e-03,0.136234,1.95344
-1.7904e-03,0.136437,1.94094
-1.7900e-03,0.135469,1.93938
-1.7896e-03,0.136563,1.94188
-1.7892e-03,0.135281,1.94578
-1.7888e-03,0.134656,1.94891
-1.7884e-03,0.134797,1.94859
-1.7880e-03,0.135688,1.94109
-1.7876e-03,0.135281,1.94219
-1.7872e-03,0.135172,1.94625
-1.7868e-03,0.134906,1.94953
-1.7864e-03,0.134563,1.94906
-1.7860e-03,0.134281,1.94594
-1.7856e-03,0.134703,1.9475
-1.7852e-03,0.134719,1.94719
-1.7848e-03,0.134141,1.93828
-1.7844e-03,0.134125,1.94297
-1.7840e-03,0.133984,1.94391
-1.7836e-03,0.134266,1.94109
-1.7832e-03,0.133406,1.94328
-1.7828e-03,0.13275,1.93641
-1.7824e-03,0.133641,1.93906
-1.7820e-03,0.132453,1.93922
-1.7816e-03,0.132094,1.94078
-1.7812e-03,0.131828,1.93719
-1.7808e-03,0.131531,1.94312
-1.7804e-03,0.132281,1.94406
-1.7800e-03,0.131766,1.94531
-1.7796e-03,0.131766,1.94375
-1.7792e-03,0.131797,1.94594
-1.7788e-03,0.130375,1.93484
-1.7784e-03,0.131031,1.94625
-1.7780e-03,0.130594,1.94437
-1.7776e-03,0.131609,1.94266
-1.7772e-03,0.130656,1.94281
-1.7768e-03,0.130281,1.94797
-1.7764e-03,0.130062,1.93422
-1.7760e-03,0.130359,1.9375
-1.7756e-03,0.129547,1.94125
-1.7752e-03,0.129719,1.93891
-1.7748e-03,0.129203,1.93844
-1.7744e-03,0.129406,1.94188
-1.7740e-03,0.128922,1.94
-1.7736e-03,0.1285,1.93781
-1.7732e-03,0.128125,1.94719
-1.7728e-03,0.127812,1.95
-1.7724e-03,0.127594,1.94609
-1.7720e-03,0.127672,1.94484
-1.7716e-03,0.127938,1.93984
-1.7712e-03,0.127703,1.93828
-1.7708e-03,0.127438,1.93844
-1.7704e-03,0.127172,1.93656
-1.7700e-03,0.126297,1.94219
-1.7696e-03,0.126344,1.93781
-1.7692e-03,0.125922,1.9425
-1.7688e-03,0.125719,1.93859
-1.7684e-03,0.126,1.93938
-1.7680e-03,0.125547,1.9325
-1.7676e-03,0.125547,1.94
-1.7672e-03,0.125375,1.94063
-1.7668e-03,0.125062,1.94938
-1.7664e-03,0.125281,1.93938
-1.7660e-03,0.125,1.93906
-1.7656e-03,0.124875,1.94328
-1.7652e-03,0.124203,1.93344
-1.7648e-03,0.124094,1.94219
-1.7644e-03,0.124063,1.93828
-1.7640e-03,0.124047,1.93063
-1.7636e-03,0.124172,1.93781
-1.7632e-03,0.124016,1.93594
-1.7628e-03,0.123375,1.93875
-1.7624e-03,0.12225,1.93859
-1.7620e-03,0.123078,1.93969
-1.7616e-03,0.122672,1.93
-1.7612e-03,0.12325,1.93734
-1.7608e-03,0.123234,1.93234
-1.7604e-03,0.122844,1.94141
-1.7600e-03,0.122406,1.94016
-1.7596e-03,0.122453,1.93984
-1.7592e-03,0.121688,1.9375
-1.7588e-03,0.121203,1.93766
-1.7584e-03,0.121156,1.94
-1.7580e-03,0.121125,1.9325
-1.7576e-03,0.121781,1.93203
-1.7572e-03,0.120984,1.93406
-1.7568e-03,0.119953,1.93094
-1.7564e-03,0.120672,1.93734
-1.7560e-03,0.120234,1.93109
-1.7556e-03,0.120469,1.93641
-1.7552e-03,0.119609,1.93422
-1.7548e-03,0.118359,1.93688
-1.7544e-03,0.118516,1.93516
-1.7540e-03,0.119219,1.92891
-1.7536e-03,0.119125,1.93
-1.7532e-03,0.119031,1.93484
-1.7528e-03,0.119125,1.93375
-1.7524e-03,0.118391,1.94219
-1.7520e-03,0.118297,1.93344
-1.7516e-03,0.118063,1.93484
-1.7512e-03,0.11725,1.93016
-1.7508e-03,0.116687,1.93156
-1.7504e-03,0.116719,1.92938
-1.7500e-03,0.116906,1.93422
-1.7496e-03,0.117031,1.92719
-1.7492e-03,0.116844,1.92703
-1.7488e-03,0.116312,1.93703
-1.7484e-03,0.116016,1.93156
-1.7480e-03,0.115078,1.93312
-1.7476e-03,0.116047,1.92859
-1.7472e-03,0.115922,1.93
-1.7468e-03,0.115484,1.92969
-1.7464e-03,0.114266,1.93016
-1.7460e-03,0.113891,1.9275
-1.7456e-03,0.113906,1.93297
-1.7452e-03,0.113594,1.93109
-1.7448e-03,0.113641,1.92797
-1.7444e-03,0.113156,1.93109
-1.7440e-03,0.1135,1.93078
-1.7436e-03,0.112812,1.92844
-1.7432e-03,0.112672,1.93531
-1.7428e-03,0.112875,1.93844
-1.7424e-03,0.113219,1.93312
-1.7420e-03,0.112094,1.92734
-1.7416e-03,0.111672,1.93063
-1.7412e-03,0.111984,1.93797
-1.7408e-03,0.111563,1.93234
-1.7404e-03,0.110703,1.92703
-1.7400e-03,0.11075,1.93172
-1.7396e-03,0.110172,1.93188
-1.7392e-03,0.110516,1.93703
-1.7388e-03,0.110094,1.92953
-1.7384e-03,0.109297,1.92953
-1.7380e-03,0.109297,1.93219
-1.7376e-03,0.109234,1.93047
-1.7372e-03,0.109328,1.92516
-1.7368e-03,0.108719,1.93813
-1.7364e-03,0.107766,1.92578
-1.7360e-03,0.108094,1.93344
-1.7356e-03,0.106719,1.92344
-1.7352e-03,0.106641,1.92859
-1.7348e-03,0.107266,1.92766
-1.7344e-03,0.106359,1.92953
-1.7340e-03,0.106,1.92672
-1.7336e-03,0.106141,1.93109
-1.7332e-03,0.105844,1.925
-1.7328e-03,0.106234,1.92813
-1.7324e-03,0.105031,1.92203
-1.7320e-03,0.104969,1.92969
-1.7316e-03,0.105,1.92609
-1.7312e-03,0.104703,1.92953
-1.7308e-03,0.105063,1.92469
-1.7304e-03,0.104453,1.92547
-1.7300e-03,0.104,1.93
-1.7296e-03,0.103531,1.92656
-1.7292e-03,0.103828,1.92406
-1.7288e-03,0.103563,1.92859
-1.7284e-03,0.103,1.92016
-1.7280e-03,0.102438,1.92281
-1.7276e-03,0.102266,1.92344
-1.7272e-03,0.103109,1.91813
-1.7268e-03,0.102078,1.92719
-1.7264e-03,0.101453,1.92125
-1.7260e-03,0.100953,1.91688
-1.7256e-03,0.100937,1.92469
-1.7252e-03,0.10025,1.91797
-1.7248e-03,0.101141,1.92813
-1.7244e-03,0.0997813,1.92219
-1.7240e-03,0.100453,1.92234
-1.7236e-03,0.0995313,1.92375
-1.7232e-03,0.100047,1.92156
-1.7228e-03,0.0981094,1.92172
-1.7224e-03,0.0983594,1.91922
-1.7220e-03,0.0984531,1.92828
-1.7216e-03,0.0978281,1.91672
-1.7212e-03,0.0975156,1.91984
-1.7208e-03,0.0977969,1.92063
-1.7204e-03,0.0968906,1.91594
-1.7200e-03,0.0967188,1.92
-1.7196e-03,0.0965625,1.91453
-1.7192e-03,0.096375,1.92422
-1.7188e-03,0.0959219,1.91625
-1.7184e-03,0.0953594,1.91938
