Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-05,
Horizontal Delay,-8e-07,
Sample Interval,4e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,10
Vertical Position,-0.04,-0.06
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.9024e-04,7.56641,8.35625
-1.9020e-04,7.57031,8.35
-1.9016e-04,7.55547,8.35
-1.9012e-04,7.60859,8.32812
-1.9008e-04,7.55313,8.27187
-1.9004e-04,7.56641,8.1875
-1.9000e-04,7.58125,8.24844
-1.8996e-04,7.56172,8.19531
-1.8992e-04,7.57188,8.12656
-1.8988e-04,7.53828,8.15781
-1.8984e-04,7.58047,8.1375
-1.8980e-04,7.58828,8.07031
-1.8976e-04,7.53125,8.07031
-1.8972e-04,7.58594,8.04063
-1.8968e-04,7.54219,8.06719
-1.8964e-04,7.56016,8.01094
-1.8960e-04,7.57578,8.03281
-1.8956e-04,7.53359,7.98438
-1.8952e-04,7.55,7.9125
-1.8948e-04,7.55078,7.94688
-1.8944e-04,7.54922,7.81563
-1.8940e-04,7.56094,7.82031
-1.8936e-04,7.53359,7.86094
-1.8932e-04,7.56484,7.87969
-1.8928e-04,7.56094,7.825
-1.8924e-04,7.56797,7.78125
-1.8920e-04,7.56563,7.73125
-1.8916e-04,7.5375,7.87344
-1.8912e-04,7.58203,7.7875
-1.8908e-04,7.50078,7.77344
-1.8904e-04,7.51875,7.75781
-1.8900e-04,7.54922,7.64375
-1.8896e-04,7.55547,7.64062
-1.8892e-04,7.52813,7.63906
-1.8888e-04,7.56094,7.57188
-1.8884e-04,7.51172,7.54219
-1.8880e-04,7.55781,7.63438
-1.8876e-04,7.56719,7.52031
-1.8872e-04,7.525,7.48594
-1.8868e-04,7.54063,7.57344
-1.8864e-04,7.55234,7.50625
-1.8860e-04,7.53125,7.45469
-1.8856e-04,7.55,7.47969
-1.8852e-04,7.52813,7.44844
-1.8848e-04,7.56172,7.38438
-1.8844e-04,7.53516,7.3375
-1.8840e-04,7.54531,7.275
-1.8836e-04,7.53047,7.16094
-1.8832e-04,7.53125,7.32188
-1.8828e-04,7.54375,7.24531
-1.8824e-04,7.50078,7.25156
-1.8820e-04,7.52656,7.17031
-1.8816e-04,7.55938,7.23125
-1.8812e-04,7.51406,7.12188
-1.8808e-04,7.525,7.12188
-1.8804e-04,7.55234,7.06563
-1.8800e-04,7.53828,7.03281
-1.8796e-04,7.5625,7.07031
-1.8792e-04,7.53203,6.96719
-1.8788e-04,7.56172,7.06406
-1.8784e-04,7.56797,6.9625
-1.8780e-04,7.53594,6.96406
-1.8776e-04,7.55469,6.87656
-1.8772e-04,7.53359,6.94844
-1.8768e-04,7.56484,6.85781
-1.8764e-04,7.54531,6.86406
-1.8760e-04,7.54219,6.84063
-1.8756e-04,7.53047,6.82656
-1.8752e-04,7.52188,6.82656
-1.8748e-04,7.56563,6.78281
-1.8744e-04,7.54063,6.79844
-1.8740e-04,7.53203,6.67812
-1.8736e-04,7.475,6.68594
-1.8732e-04,7.5,6.67344
-1.8728e-04,7.51719,6.66094
-1.8724e-04,7.49297,6.71563
-1.8720e-04,7.50625,6.6625
-1.8716e-04,7.52109,6.63438
-1.8712e-04,7.53047,6.52031
-1.8708e-04,7.5375,6.57812
-1.8704e-04,7.52813,6.53594
-1.8700e-04,7.55313,6.57812
-1.8696e-04,7.54688,6.51406
-1.8692e-04,7.55,6.49531
-1.8688e-04,7.48984,6.48125
-1.8684e-04,7.52813,6.44531
-1.8680e-04,7.51641,6.41406
