time	V(vd)	V(vd)*Id(M1)	Id(M1)
1.739849999977288e-07	3.300000e+00	1.649891e-01	4.999671e-02
1.842249999975778e-07	3.300000e+00	1.649891e-01	4.999671e-02
1.944649999974268e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.047049999972758e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.149449999971248e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.251849999969738e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.354249999968227e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.456649999966717e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.559049999965207e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.661449999963697e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.763849999962187e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.866249999960676e-07	3.300000e+00	1.649891e-01	4.999671e-02
2.968649999959166e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.071049999957656e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.173449999956146e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.275849999954636e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.378249999953125e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.480649999951615e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.583049999950105e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.685449999948595e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.787849999947085e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.890249999945574e-07	3.300000e+00	1.649891e-01	4.999671e-02
3.992649999944064e-07	3.300000e+00	1.649891e-01	4.999671e-02
4.095049999942554e-07	3.300000e+00	1.649891e-01	4.999671e-02
4.197449999941044e-07	3.300000e+00	1.649891e-01	4.999671e-02
4.299849999939534e-07	3.300000e+00	1.649891e-01	4.999671e-02
4.402249999938024e-07	3.300000e+00	1.649891e-01	4.999671e-02
4.504649999936513e-07	3.300000e+00	1.649891e-01	4.999671e-02
4.607049999935003e-07	3.300000e+00	1.649891e-01	4.999671e-02
4.709449999933493e-07	3.300000e+00	1.649891e-01	4.999671e-02
4.811849999931983e-07	3.300000e+00	1.649891e-01	4.999671e-02
4.914249999930473e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.016649999928962e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.119049999927452e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.221449999925942e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.323849999924432e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.426249999922922e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.528649999921411e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.631049999919901e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.733449999918391e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.835849999916881e-07	3.300000e+00	1.649891e-01	4.999671e-02
5.938249999915371e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.040649999913860e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.143049999912350e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.245449999910840e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.347849999909330e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.450249999907820e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.552649999906310e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.655049999904799e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.757449999903289e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.859849999901779e-07	3.300000e+00	1.649891e-01	4.999671e-02
6.962249999900269e-07	3.300000e+00	1.649891e-01	4.999671e-02
7.064649999898759e-07	3.300000e+00	1.649891e-01	4.999671e-02
7.167049999897248e-07	3.300000e+00	1.649891e-01	4.999671e-02
7.269449999895738e-07	3.300000e+00	1.649891e-01	4.999671e-02
