time	V(out)	V(vin)
1.290785714285885e-03	2.259832e-01	3.258225e-03
1.300500000000172e-03	1.832545e-01	4.991898e-03
1.304214285714458e-03	1.667304e-01	5.747046e-03
1.307928571428745e-03	1.500856e-01	6.552348e-03
1.311642857143031e-03	1.333199e-01	7.407804e-03
1.315357142857317e-03	1.164334e-01	8.313415e-03
1.319071428571603e-03	9.942609e-02	9.269181e-03
1.322785714285889e-03	8.229797e-02	1.027510e-02
1.326500000000176e-03	6.504904e-02	1.133117e-02
1.328928571428747e-03	5.373838e-02	1.204745e-02
1.331357142857319e-03	4.240650e-02	1.278376e-02
1.333785714285891e-03	3.105340e-02	1.354011e-02
1.336214285714463e-03	1.967908e-02	1.431650e-02
1.338642857143034e-03	8.283548e-03	1.511292e-02
1.341071428571606e-03	-3.133207e-03	1.592938e-02
1.343500000000178e-03	-1.457118e-02	1.676587e-02
1.349071428571607e-03	-4.092589e-02	1.876360e-02
1.354642857143037e-03	-6.717520e-02	2.085412e-02
1.360214285714466e-03	-9.331913e-02	2.303745e-02
1.365785714285895e-03	-1.193577e-01	2.531357e-02
1.371357142857324e-03	-1.452908e-01	2.768250e-02
1.376928571428754e-03	-1.711186e-01	3.014422e-02
1.382500000000183e-03	-1.968409e-01	3.269875e-02
1.393071428571613e-03	-2.453176e-01	3.781911e-02
1.403642857143043e-03	-2.919847e-01	4.315214e-02
1.414214285714473e-03	-3.368421e-01	4.869782e-02
1.424785714285903e-03	-3.798900e-01	5.445617e-02
1.435357142857333e-03	-4.211283e-01	6.042717e-02
1.445928571428763e-03	-4.605570e-01	6.661084e-02
1.456500000000192e-03	-4.981761e-01	7.300717e-02
1.463500000000193e-03	-5.214166e-01	7.728791e-02
1.470500000000194e-03	-5.433913e-01	8.159164e-02
1.477500000000195e-03	-5.641002e-01	8.591835e-02
1.484500000000196e-03	-5.835433e-01	9.026805e-02
1.491500000000197e-03	-6.017206e-01	9.464073e-02
1.498500000000198e-03	-6.186321e-01	9.903641e-02
1.505500000000199e-03	-6.342778e-01	1.034551e-01
1.514500000000200e-03	-6.523103e-01	1.091421e-01
1.523500000000201e-03	-6.679494e-01	1.147558e-01
1.532500000000203e-03	-6.811950e-01	1.202961e-01
1.541500000000204e-03	-6.920471e-01	1.257630e-01
1.550500000000205e-03	-7.005058e-01	1.311565e-01
1.559500000000206e-03	-7.065711e-01	1.364766e-01
1.568500000000207e-03	-7.102429e-01	1.417233e-01
1.582928571428781e-03	-7.105343e-01	1.499203e-01
1.597357142857354e-03	-7.051288e-01	1.575638e-01
1.611785714285927e-03	-6.940261e-01	1.646538e-01
1.626214285714501e-03	-6.772264e-01	1.711903e-01
1.640642857143074e-03	-6.547297e-01	1.771733e-01
1.655071428571648e-03	-6.265359e-01	1.826029e-01
1.669500000000221e-03	-5.926450e-01	1.874789e-01
1.681642857143080e-03	-5.602959e-01	1.909472e-01
1.693785714285938e-03	-5.254821e-01	1.938537e-01
1.705928571428797e-03	-4.882036e-01	1.961985e-01
1.718071428571656e-03	-4.484606e-01	1.979815e-01
1.730214285714514e-03	-4.062529e-01	1.992028e-01
1.742357142857373e-03	-3.615806e-01	1.998623e-01
1.754500000000232e-03	-3.144437e-01	1.999600e-01
1.761928571428805e-03	-2.851092e-01	1.997150e-01
1.769357142857377e-03	-2.554643e-01	1.992565e-01
1.776785714285949e-03	-2.255088e-01	1.985848e-01
1.784214285714522e-03	-1.952429e-01	1.976998e-01
1.791642857143094e-03	-1.646666e-01	1.966014e-01
1.799071428571667e-03	-1.337797e-01	1.952897e-01
1.806500000000239e-03	-1.025824e-01	1.937647e-01
1.809357142857382e-03	-9.061741e-02	1.931250e-01
