Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.0002,,,Horizontal Scale,0.0002
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,2e-07,,,Sample Interval,2e-07
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,0.01,,Probe Attenuation,1
Vertical Units,V,A,,Vertical Units,W
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,1,0.01,,Vertical Scale,0.2
Vertical Position,-0.02,-0.02,,Vertical Position,-0.0961381
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1*CH2>"
-9.8060e-04,2.40359,-0.0201078,,-9.8060e-04,-0.0484286
-9.8040e-04,2.40469,-0.0200688,,-9.8040e-04,-0.0483974
-9.8020e-04,2.40328,-0.0201359,,-9.8020e-04,-0.0483349
-9.8000e-04,2.40641,-0.0200563,,-9.8000e-04,-0.0484911
-9.7980e-04,2.40469,-0.0199984,,-9.7980e-04,-0.0483349
-9.7960e-04,2.40828,-0.0200547,,-9.7960e-04,-0.0483974
-9.7940e-04,2.40297,-0.0201172,,-9.7940e-04,-0.0484599
-9.7920e-04,2.40375,-0.0201125,,-9.7920e-04,-0.0483974
-9.7900e-04,2.40047,-0.0200547,,-9.7900e-04,-0.0482411
-9.7880e-04,2.40016,-0.0200688,,-9.7880e-04,-0.0486474
-9.7860e-04,2.39984,-0.0200953,,-9.7860e-04,-0.0485536
-9.7840e-04,2.40328,-0.0200703,,-9.7840e-04,-0.0482411
-9.7820e-04,2.40703,-0.02005,,-9.7820e-04,-0.0484599
-9.7800e-04,2.40641,-0.0201531,,-9.7800e-04,-0.0481474
-9.7780e-04,2.40344,-0.0200938,,-9.7780e-04,-0.0483661
-9.7760e-04,2.39891,-0.0200172,,-9.7760e-04,-0.0480224
-9.7740e-04,2.39641,-0.0201391,,-9.7740e-04,-0.0483349
-9.7720e-04,2.40984,-0.0200938,,-9.7720e-04,-0.0483349
-9.7700e-04,2.40719,-0.0200563,,-9.7700e-04,-0.0482724
-9.7680e-04,2.40219,-0.0200094,,-9.7680e-04,-0.0483349
-9.7660e-04,2.40141,-0.0201688,,-9.7660e-04,-0.0483349
-9.7640e-04,2.40422,-0.0200984,,-9.7640e-04,-0.0483661
-9.7620e-04,2.40453,-0.0200656,,-9.7620e-04,-0.0481474
-9.7600e-04,2.40344,-0.0201109,,-9.7600e-04,-0.0484599
-9.7580e-04,2.40547,-0.0200984,,-9.7580e-04,-0.0482724
-9.7560e-04,2.40078,-0.0201078,,-9.7560e-04,-0.0485849
-9.7540e-04,2.39609,-0.0200953,,-9.7540e-04,-0.0483661
-9.7520e-04,2.40375,-0.0201078,,-9.7520e-04,-0.0484286
-9.7500e-04,2.40234,-0.0200813,,-9.7500e-04,-0.0482411
-9.7480e-04,2.40437,-0.0201203,,-9.7480e-04,-0.0481161
-9.7460e-04,2.39219,-0.0200609,,-9.7460e-04,-0.0485224
-9.7440e-04,2.4,-0.0201219,,-9.7440e-04,-0.0482099
-9.7420e-04,2.40078,-0.0201828,,-9.7420e-04,-0.0480536
-9.7400e-04,2.40109,-0.0200719,,-9.7400e-04,-0.0483036
-9.7380e-04,2.39969,-0.0200688,,-9.7380e-04,-0.0482411
-9.7360e-04,2.39688,-0.0201156,,-9.7360e-04,-0.0483974
-9.7340e-04,2.39813,-0.0200328,,-9.7340e-04,-0.0483036
-9.7320e-04,2.39234,-0.0200422,,-9.7320e-04,-0.0481161
