rvar	I(Rl)	I(Rv)
2.630267991895396e+01	1.015961e-02	1.014082e-02
2.754228703338181e+01	1.015959e-02	1.014082e-02
2.884031503126622e+01	1.015958e-02	1.014082e-02
3.019951720402033e+01	1.015957e-02	1.014082e-02
3.162277660168397e+01	1.015955e-02	1.014082e-02
3.311311214825930e+01	1.015954e-02	1.014082e-02
3.467368504525336e+01	1.015952e-02	1.014082e-02
3.630780547701035e+01	1.015950e-02	1.014082e-02
3.801893963205634e+01	1.015949e-02	1.014082e-02
3.981071705534996e+01	1.015947e-02	1.014082e-02
4.168693834703379e+01	1.015945e-02	1.014082e-02
4.365158322401686e+01	1.015943e-02	1.014082e-02
4.570881896148778e+01	1.015941e-02	1.014082e-02
4.786300923226413e+01	1.015938e-02	1.014082e-02
5.011872336272754e+01	1.015936e-02	1.014082e-02
5.248074602497758e+01	1.015934e-02	1.014082e-02
5.495408738576280e+01	1.015931e-02	1.014082e-02
5.754399373371606e+01	1.015928e-02	1.014082e-02
6.025595860743616e+01	1.015926e-02	1.014082e-02
6.309573444801973e+01	1.015923e-02	1.014082e-02
6.606934480076004e+01	1.015920e-02	1.014082e-02
6.918309709189411e+01	1.015916e-02	1.014082e-02
7.244359600749949e+01	1.015913e-02	1.014082e-02
7.585775750291889e+01	1.015909e-02	1.014082e-02
7.943282347242869e+01	1.015906e-02	1.014082e-02
8.317637711026768e+01	1.015902e-02	1.014082e-02
8.709635899560868e+01	1.015898e-02	1.014082e-02
9.120108393559163e+01	1.015894e-02	1.014082e-02
9.549925860214428e+01	1.015889e-02	1.014082e-02
1.000000000000007e+02	1.015885e-02	1.014082e-02
1.047128548050907e+02	1.015880e-02	1.014082e-02
1.096478196143193e+02	1.015874e-02	1.014082e-02
1.148153621496891e+02	1.015869e-02	1.014082e-02
1.202264434617422e+02	1.015864e-02	1.014082e-02
1.258925411794177e+02	1.015858e-02	1.014082e-02
1.318256738556417e+02	1.015852e-02	1.014082e-02
1.380384264602895e+02	1.015845e-02	1.014082e-02
1.445439770745939e+02	1.015838e-02	1.014082e-02
1.513561248436220e+02	1.015831e-02	1.014082e-02
1.584893192461126e+02	1.015824e-02	1.014082e-02
1.659586907437574e+02	1.015816e-02	1.014082e-02
1.737800828749389e+02	1.015808e-02	1.014082e-02
1.819700858609998e+02	1.015800e-02	1.014082e-02
1.905460717963263e+02	1.015791e-02	1.014082e-02
1.995262314968896e+02	1.015782e-02	1.014082e-02
2.089296130854057e+02	1.015772e-02	1.014082e-02
2.187761623949571e+02	1.015762e-02	1.014082e-02
2.290867652767792e+02	1.015751e-02	1.014082e-02
2.398832919019511e+02	1.015740e-02	1.014082e-02
2.511886431509601e+02	1.015728e-02	1.014082e-02
2.630267991895404e+02	1.015716e-02	1.014082e-02
2.754228703338190e+02	1.015703e-02	1.014082e-02
2.884031503126631e+02	1.015690e-02	1.014082e-02
3.019951720402042e+02	1.015676e-02	1.014082e-02
3.162277660168407e+02	1.015661e-02	1.014082e-02
3.311311214825940e+02	1.015646e-02	1.014082e-02
3.467368504525347e+02	1.015630e-02	1.014082e-02
3.630780547701045e+02	1.015613e-02	1.014082e-02
3.801893963205646e+02	1.015595e-02	1.014082e-02
3.981071705535009e+02	1.015576e-02	1.014082e-02
4.168693834703392e+02	1.015557e-02	1.014082e-02
4.365158322401700e+02	1.015537e-02	1.014082e-02
4.570881896148792e+02	1.015516e-02	1.014082e-02
4.786300923226428e+02	1.015493e-02	1.014082e-02
5.011872336272770e+02	1.015470e-02	1.014082e-02
5.248074602497775e+02	1.015446e-02	1.014082e-02
5.495408738576297e+02	1.015420e-02	1.014082e-02
5.754399373371623e+02	1.015393e-02	1.014082e-02
6.025595860743634e+02	1.015365e-02	1.014082e-02
6.309573444801993e+02	1.015336e-02	1.014082e-02
6.606934480076023e+02	1.015305e-02	1.014082e-02
6.918309709189432e+02	1.015273e-02	1.014082e-02
7.244359600749972e+02	1.015240e-02	1.014082e-02
7.585775750291913e+02	1.015204e-02	1.014082e-02
7.943282347242895e+02	1.015168e-02	1.014082e-02
8.317637711026795e+02	1.015129e-02	1.014082e-02
8.709635899560895e+02	1.015089e-02	1.014082e-02
9.120108393559192e+02	1.015046e-02	1.014082e-02
9.549925860214460e+02	1.015002e-02	1.014082e-02
1.000000000000011e+03	1.014956e-02	1.014082e-02
1.047128548050911e+03	1.014907e-02	1.014082e-02
1.096478196143197e+03	1.014856e-02	1.014082e-02
1.148153621496895e+03	1.014803e-02	1.014082e-02
1.202264434617426e+03	1.014747e-02	1.014082e-02
1.258925411794181e+03	1.014689e-02	1.014082e-02
1.318256738556422e+03	1.014628e-02	1.014082e-02
1.380384264602900e+03	1.014564e-02	1.014082e-02
1.445439770745944e+03	1.014497e-02	1.014082e-02
1.513561248436225e+03	1.014427e-02	1.014082e-02
1.584893192461132e+03	1.014354e-02	1.014082e-02
1.659586907437580e+03	1.014277e-02	1.014082e-02
1.737800828749396e+03	1.014197e-02	1.014082e-02
1.819700858610005e+03	1.014113e-02	1.014082e-02
1.905460717963269e+03	1.014025e-02	1.014083e-02
1.995262314968903e+03	9.917882e-03	1.014083e-02
2.089296130854064e+03	9.484123e-03	1.014082e-02
2.187761623949578e+03	9.065337e-03	1.014083e-02
2.290867652767800e+03	8.663396e-03	1.014083e-02
2.398832919019519e+03	8.278324e-03	1.014083e-02
2.511886431509610e+03	7.909736e-03	1.014083e-02
2.630267991895414e+03	7.557105e-03	1.014083e-02
2.754228703338200e+03	7.219854e-03	1.014083e-02
2.884031503126641e+03	6.897388e-03	1.014083e-02
3.019951720402054e+03	6.589110e-03	1.014083e-02
3.162277660168419e+03	6.294439e-03	1.014083e-02
3.311311214825952e+03	6.012801e-03	1.014083e-02
3.467368504525360e+03	5.743644e-03	1.014083e-02
3.630780547701059e+03	5.486434e-03	1.014083e-02
3.801893963205660e+03	5.240655e-03	1.014083e-02
3.981071705535023e+03	5.005812e-03	1.014083e-02
4.168693834703407e+03	4.781428e-03	1.014083e-02
4.365158322401716e+03	4.567046e-03	1.014083e-02
4.570881896148810e+03	4.362227e-03	1.014083e-02
4.786300923226446e+03	4.166551e-03	1.014083e-02
5.011872336272789e+03	3.979615e-03	1.014083e-02
5.248074602497795e+03	3.801033e-03	1.014083e-02
5.495408738576319e+03	3.630435e-03	1.014083e-02
5.754399373371646e+03	3.467468e-03	1.014083e-02
6.025595860743659e+03	3.311793e-03	1.014083e-02
6.309573444802018e+03	3.163087e-03	1.014083e-02
6.606934480076051e+03	3.021040e-03	1.014083e-02
6.918309709189461e+03	2.885356e-03	1.014083e-02
7.244359600750002e+03	2.755751e-03	1.014083e-02
7.585775750291944e+03	2.631954e-03	1.014083e-02
7.943282347242927e+03	2.513707e-03	1.014083e-02
8.317637711026828e+03	2.400763e-03	1.014083e-02
8.709635899560930e+03	2.292883e-03	1.014083e-02
9.120108393559227e+03	2.189843e-03	1.014083e-02
9.549925860214496e+03	2.091426e-03	1.014083e-02
1.000000000000000e+04	1.997425e-03	1.014083e-02
