uin1	V(uout1)	V(uout2)	abs(D(V(uout1)-V(uout2))/D(uin1))
-3.899999999999990e-02	8.080755e+00	1.990056e+00	1.151495e+02
-3.799999999999989e-02	8.022422e+00	2.048133e+00	1.176710e+02
-3.699999999999989e-02	7.962825e+00	2.107468e+00	1.201917e+02
-3.599999999999989e-02	7.901965e+00	2.168060e+00	1.227089e+02
-3.499999999999989e-02	7.839845e+00	2.229905e+00	1.252191e+02
-3.399999999999989e-02	7.776468e+00	2.293001e+00	1.277189e+02
-3.299999999999989e-02	7.711841e+00	2.357339e+00	1.302043e+02
-3.199999999999989e-02	7.645972e+00	2.422913e+00	1.326721e+02
-3.099999999999989e-02	7.578870e+00	2.489713e+00	1.351181e+02
-2.999999999999989e-02	7.510549e+00	2.557726e+00	1.375393e+02
-2.899999999999989e-02	7.441019e+00	2.626940e+00	1.399317e+02
-2.799999999999989e-02	7.370298e+00	2.697339e+00	1.422906e+02
-2.699999999999989e-02	7.298403e+00	2.768905e+00	1.446130e+02
-2.599999999999988e-02	7.225352e+00	2.841619e+00	1.468951e+02
-2.499999999999988e-02	7.151168e+00	2.915460e+00	1.491320e+02
-2.399999999999988e-02	7.075873e+00	2.990405e+00	1.513203e+02
-2.299999999999988e-02	6.999494e+00	3.066427e+00	1.534564e+02
-2.199999999999988e-02	6.922056e+00	3.143500e+00	1.555364e+02
-2.099999999999988e-02	6.843589e+00	3.221595e+00	1.575558e+02
-1.999999999999988e-02	6.764124e+00	3.300680e+00	1.595112e+02
-1.899999999999988e-02	6.683695e+00	3.380723e+00	1.613991e+02
-1.799999999999988e-02	6.602335e+00	3.461689e+00	1.632158e+02
-1.699999999999988e-02	6.520082e+00	3.543542e+00	1.649574e+02
-1.599999999999988e-02	6.436974e+00	3.626242e+00	1.666209e+02
-1.499999999999987e-02	6.353049e+00	3.709751e+00	1.682026e+02
-1.399999999999987e-02	6.268352e+00	3.794026e+00	1.696994e+02
-1.299999999999987e-02	6.182923e+00	3.879024e+00	1.711085e+02
-1.199999999999987e-02	6.096809e+00	3.964700e+00	1.724268e+02
-1.099999999999987e-02	6.010056e+00	4.051010e+00	1.736518e+02
-9.999999999999870e-03	5.922709e+00	4.137904e+00	1.747806e+02
-8.999999999999869e-03	5.834819e+00	4.225334e+00	1.758106e+02
-7.999999999999868e-03	5.746435e+00	4.313251e+00	1.767406e+02
-6.999999999999868e-03	5.657608e+00	4.401604e+00	1.775682e+02
-5.999999999999868e-03	5.568389e+00	4.490341e+00	1.782908e+02
-4.999999999999868e-03	5.478831e+00	4.579410e+00	1.789081e+02
-3.999999999999868e-03	5.388988e+00	4.668756e+00	1.794183e+02
-2.999999999999868e-03	5.298913e+00	4.758327e+00	1.798201e+02
-1.999999999999868e-03	5.208660e+00	4.848069e+00	1.801126e+02
-9.999999999998682e-04	5.118285e+00	4.937925e+00	1.802957e+02
1.318389841742373e-16	5.027842e+00	5.027842e+00	1.803689e+02
1.000000000000132e-03	4.937386e+00	5.117764e+00	1.803315e+02
2.000000000000132e-03	4.846973e+00	5.207636e+00	1.801839e+02
3.000000000000132e-03	4.756658e+00	5.297403e+00	1.799266e+02
4.000000000000132e-03	4.666494e+00	5.387011e+00	1.795604e+02
5.000000000000132e-03	4.576538e+00	5.476404e+00	1.790860e+02
6.000000000000132e-03	4.486842e+00	5.565530e+00	1.785038e+02
7.000000000000132e-03	4.397460e+00	5.654334e+00	1.778159e+02
8.000000000000132e-03	4.308444e+00	5.742764e+00	1.770234e+02
9.000000000000133e-03	4.219847e+00	5.830768e+00	1.761279e+02
1.000000000000013e-02	4.131720e+00	5.918295e+00	1.751316e+02
1.100000000000013e-02	4.044112e+00	6.005296e+00	1.740364e+02
1.200000000000014e-02	3.957072e+00	6.091721e+00	1.728452e+02
1.300000000000014e-02	3.870648e+00	6.177523e+00	1.715600e+02
1.400000000000014e-02	3.784886e+00	6.262655e+00	1.701837e+02
1.500000000000014e-02	3.699831e+00	6.347073e+00	1.687189e+02
1.600000000000014e-02	3.615527e+00	6.430733e+00	1.671690e+02
1.700000000000014e-02	3.532014e+00	6.513594e+00	1.655371e+02
1.800000000000014e-02	3.449335e+00	6.595615e+00	1.638260e+02
1.900000000000014e-02	3.367526e+00	6.676758e+00	1.620395e+02
2.000000000000014e-02	3.286625e+00	6.756985e+00	1.601813e+02
2.100000000000014e-02	3.206668e+00	6.836262e+00	1.582547e+02
2.200000000000014e-02	3.127687e+00	6.914556e+00	1.562636e+02
2.300000000000015e-02	3.049713e+00	6.991835e+00	1.542118e+02
2.400000000000015e-02	2.972777e+00	7.068069e+00	1.521031e+02
2.500000000000015e-02	2.896905e+00	7.143232e+00	1.499407e+02
2.600000000000015e-02	2.822123e+00	7.217298e+00	1.477292e+02
2.700000000000015e-02	2.748456e+00	7.290242e+00	1.454728e+02
2.800000000000015e-02	2.675924e+00	7.362044e+00	1.431748e+02
2.900000000000015e-02	2.604548e+00	7.432683e+00	1.408391e+02
3.000000000000015e-02	2.534344e+00	7.502142e+00	1.384698e+02
3.100000000000015e-02	2.465330e+00	7.570405e+00	1.360710e+02
3.200000000000015e-02	2.397519e+00	7.637459e+00	1.336462e+02
3.300000000000015e-02	2.330923e+00	7.703291e+00	1.311989e+02
3.400000000000016e-02	2.265553e+00	7.767890e+00	1.287332e+02
3.500000000000016e-02	2.201416e+00	7.831250e+00	1.262529e+02
3.600000000000016e-02	2.138519e+00	7.893363e+00	1.237612e+02
3.700000000000016e-02	2.076867e+00	7.954224e+00	1.212615e+02
3.800000000000016e-02	2.016464e+00	8.013830e+00	1.187573e+02
3.900000000000016e-02	1.957310e+00	8.072181e+00	1.162518e+02
4.000000000000016e-02	1.899405e+00	8.129275e+00	1.137486e+02
4.100000000000016e-02	1.842749e+00	8.185117e+00	1.112503e+02
4.200000000000016e-02	1.787336e+00	8.239707e+00	1.087592e+02
4.300000000000016e-02	1.733164e+00	8.293051e+00	1.062791e+02
4.400000000000016e-02	1.680226e+00	8.345155e+00	1.038128e+02
4.500000000000016e-02	1.628515e+00	8.396027e+00	1.013624e+02
4.600000000000017e-02	1.578021e+00	8.445675e+00	9.892976e+01
4.700000000000017e-02	1.528737e+00	8.494108e+00	9.651738e+01
4.800000000000017e-02	1.480650e+00	8.541338e+00	9.412819e+01
4.900000000000017e-02	1.433749e+00	8.587377e+00	9.176373e+01
5.000000000000017e-02	1.388021e+00	8.632236e+00	8.942586e+01
5.100000000000017e-02	1.343452e+00	8.675932e+00	8.711642e+01
5.200000000000017e-02	1.300029e+00	8.718477e+00	8.483714e+01
5.300000000000017e-02	1.257735e+00	8.759889e+00	8.258879e+01
5.400000000000017e-02	1.216554e+00	8.800180e+00	8.037299e+01
5.500000000000017e-02	1.176471e+00	8.839371e+00	7.819128e+01
5.600000000000017e-02	1.137467e+00	8.877476e+00	7.604527e+01
