time	V(n002)	V(n003)
2.909445407573656e-03	-4.127741e-01	-4.175434e-02
2.928976657573656e-03	-3.302670e-01	-3.344810e-02
2.948507907573656e-03	-2.426282e-01	-2.463876e-02
2.968039157573655e-03	-1.511756e-01	-1.545884e-02
2.987570407573655e-03	-5.728478e-02	-6.046400e-03
2.997336032573654e-03	-9.865392e-03	-1.297150e-03
3.016867282573654e-03	8.502957e-02	8.198104e-03
3.036398532573654e-03	1.788102e-01	1.757005e-02
3.055929782573653e-03	2.700659e-01	2.667773e-02
3.075461032573653e-03	3.574239e-01	3.538414e-02
3.094992282573652e-03	4.395701e-01	4.355836e-02
3.114523532573652e-03	5.152689e-01	5.107740e-02
3.134054782573652e-03	5.833815e-01	5.782820e-02
3.153586032573651e-03	6.428835e-01	6.370921e-02
3.173117282573651e-03	6.928796e-01	6.863197e-02
3.192648532573650e-03	7.326181e-01	7.252245e-02
3.212179782573650e-03	7.615011e-01	7.532211e-02
3.231711032573649e-03	7.790945e-01	7.698887e-02
3.251242282573649e-03	7.851336e-01	7.749764e-02
3.270773532573649e-03	7.795278e-01	7.684077e-02
3.290304782573648e-03	7.623614e-01	7.502815e-02
3.309836032573648e-03	7.338928e-01	7.208703e-02
3.329367282573647e-03	6.945502e-01	6.806166e-02
3.348898532573647e-03	6.449255e-01	6.301258e-02
3.368429782573647e-03	5.857651e-01	5.701572e-02
3.387961032573646e-03	5.179588e-01	5.016130e-02
3.407492282573646e-03	4.425263e-01	4.255241e-02
3.427023532573645e-03	3.606021e-01	3.430349e-02
3.446554782573645e-03	2.734184e-01	2.553861e-02
3.466086032573644e-03	1.822862e-01	1.638961e-02
3.485617282573644e-03	8.857609e-02	6.994091e-03
3.514914157573643e-03	-5.373403e-02	-7.251778e-03
3.534445407573643e-03	-1.476899e-01	-1.664245e-02
3.553976657573643e-03	-2.392606e-01	-2.578280e-02
3.573507907573642e-03	-3.270685e-01	-3.453535e-02
3.593039157573642e-03	-4.097930e-01	-4.276846e-02
3.612570407573641e-03	-4.861895e-01	-5.035829e-02
3.632101657573641e-03	-5.551088e-01	-5.719069e-02
3.651632907573641e-03	-6.155143e-01	-6.316288e-02
3.671164157573640e-03	-6.664975e-01	-6.818505e-02
3.690695407573640e-03	-7.072912e-01	-7.218165e-02
3.710226657573639e-03	-7.372822e-01	-7.509257e-02
3.729757907573639e-03	-7.560194e-01	-7.687403e-02
3.749289157573638e-03	-7.632209e-01	-7.749923e-02
3.768820407573638e-03	-7.587788e-01	-7.695877e-02
3.788351657573638e-03	-7.427597e-01	-7.526078e-02
3.807882907573637e-03	-7.154049e-01	-7.243080e-02
3.827414157573637e-03	-6.771258e-01	-6.851139e-02
3.846945407573636e-03	-6.284983e-01	-6.356150e-02
3.866476657573636e-03	-5.702537e-01	-5.765560e-02
3.886007907573636e-03	-5.032681e-01	-5.088249e-02
3.905539157573635e-03	-4.285489e-01	-4.334407e-02
3.925070407573635e-03	-3.472199e-01	-3.515371e-02
3.944601657573634e-03	-2.605042e-01	-2.643461e-02
3.964132907573634e-03	-1.697059e-01	-1.731791e-02
3.983664157573633e-03	-7.619059e-02	-7.940727e-03
4.003195407573633e-03	1.863527e-02	1.555889e-03
4.022726657573633e-03	1.133455e-01	1.102910e-02
4.042257907573632e-03	2.065154e-01	2.033643e-02
4.061789157573632e-03	2.967436e-01	2.933788e-02
4.081320407573631e-03	3.826729e-01	3.789806e-02
4.100851657573631e-03	4.630106e-01	4.588821e-02
4.120382907573631e-03	5.365482e-01	5.318817e-02
4.139914157573630e-03	6.021796e-01	5.968812e-02
4.159445407573630e-03	6.589175e-01	6.529032e-02
4.178976657573629e-03	7.059085e-01	6.991047e-02
4.198507907573629e-03	7.424458e-01	7.347912e-02
4.218039157573628e-03	7.679799e-01	7.594258e-02
4.237570407573628e-03	7.821270e-01	7.726377e-02
4.257101657573628e-03	7.846742e-01	7.742286e-02
4.276632907573627e-03	7.755833e-01	7.641743e-02
4.296164157573627e-03	7.549913e-01	7.426262e-02
4.315695407573626e-03	7.232080e-01	7.099082e-02
4.335226657573626e-03	6.807114e-01	6.665125e-02
4.354757907573626e-03	6.281409e-01	6.130920e-02
4.374289157573625e-03	5.662870e-01	5.504499e-02
4.393820407573625e-03	4.960802e-01	4.795285e-02
4.413351657573624e-03	4.185764e-01	4.013946e-02
4.432882907573624e-03	3.349410e-01	3.172233e-02
4.452414157573623e-03	2.464319e-01	2.282807e-02
4.471945407573623e-03	1.543803e-01	1.359046e-02
4.491476657573623e-03	6.017045e-02	4.148431e-03
4.511007907573622e-03	-3.478059e-02	-5.355993e-03
4.530539157573622e-03	-1.290447e-01	-1.477986e-02
4.550070407573621e-03	-2.212041e-01	-2.398142e-02
4.569601657573621e-03	-3.098723e-01	-3.282228e-02
4.589132907573621e-03	-3.937157e-01	-4.116946e-02
4.608664157573620e-03	-4.714731e-01	-4.889742e-02
4.628195407573620e-03	-5.419747e-01	-5.588991e-02
4.647726657573619e-03	-6.041600e-01	-6.204177e-02
4.667257907573619e-03	-6.570936e-01	-6.726046e-02
